Intent,Response,Intent (Roman Urdu),Response (Roman Urdu)
Hi,Hello! ,hi,hello !
can i use painkillers during period pain,Yes. You can take pain killers such as ibuprofen to relieve period pain.,kya mein mahvari ke dard ke douran painkiller istemaal kar sakti hon ?,jee haan. mahvari ke dard ko dur karne ke liye aap painkiller jaisay ibuprofen le satke hain .
is it normal to have a migraine during periods?,Yes. Some women get migraine headaches at the start of their period.,kya mahvari ke douran migraine ka hona mamool hai ?,jee haan. kuch khawateen ko mahvari ke aaghaz mein migraine ka sir dard hota hai .
what is the best sanitary napkin brand in pakistan,You can use Butterfly or Always pads.,Pakistan mein sanitary napkin ka behtareen brand kon sa hai ?,aap butterfly ya always ka pad istemaal kar satke hain .
I have very painful periods. is this normal?,"Some pain, cramping, and discomfort during menstrual periods is normal. However, excessive pain is not.",meri mahvari bohat takleef da hain. kya yeh aam hai ?,"mahvari ke douran kuch dard, aur takleef mamool ki baat hai. taham, zaroorat se ziyada dard nahi hai ."
My periods are delayed. It has never happened before. My last periods were very painful. i did take covid vaccince this month but i have taken covid vaccination 3 times before and this did not happen. i am also breaking out. what should i do?,"Rest assured, COVID vaccinations do not alter your menstrual cycle or cause you to have more pain than usual. Acne breakouts are a symptom of menstruation and some women experience them at the beginning of their period. If your period is painful, try relieving the pain by placing a warm cloth on your back for a few minutes. A delayed period may be a sign of pregnancy, consult a doctor on your next steps.","mere mahvari mein takheer ho rahi hai. aisa pehlay kabhi nahi huwa. mere aakhri haiz bohat takleef da thay. mein ne is mahinay covid vaccine li thi lekin mein is se pehlay 3 baar covid vaccine le chuki hon aur aisa nahi huwa. mujhe munh pe daane/acne bhi horahi hai, mein kya karoon ?","yaqeen rakhen, covid vaccine aap ke mahvari ko tabdeel nahi karti hain ya aap ke mamool se ziyada dard ka baais nahi banti hain. munh pe daane ya acne mahvari ki aik alamat hai aur kuch khawateen un ka tajurbah apni mahvari ke aaghaz mein karti hain. agar aap ki mahvari takleef da hai to chand minute ke liye apni kamar par garam kapra rakh kar dard ko dur karne ki koshish karen. haiz mein takheer hamal ki alamat ho sakti hai, –apne aglay iqdamaat ke liye doctor se mahswara karen ."
,,,
normally how much gap should there be between periods,A period occurs every 21 to 35 days,aam tor par mahvari ke darmiyan mai kitna faasla hona chahiye .,mahvari har 21 se 35 din baad hoti hai .
my periods are so painful that i cant worl the day i have periods. ehat can i do to stop the pain other than taking painkiller?,"If you are experiencing cramps, try placing a hot cloth on the area for a few minutes. Eating walnuts and almonds will also help ease the pain.  If the pain is excruciating and causing you to miss work, consult a doctor.",meri mahvari itni takleef da hoti hai ke jis din mujhe mahvari hoti hai main us din kaam nahi karsakti. kya mein dard ko roknay ke liye painkillers lainay ke ilawa kuch kar sakti hon ?,"agar aap ko dard ka saamna hai, to is jagah par chand minute ke liye garam kapra rakhnay ki koshish karen. akhrot aur badam khanay se bhi dard ko kam karne mein madad miley gi. agar dard pareshan kin hai aur aap ko kaam se mahroom karne ka sabab ban raha hai, to doctor se mahswara karen ."
i already do that and yoga as well. still it does nothinf to ease the pain as fast ,Try drinking more water to help with bloating. Drinking herbal teas will help soothe muscle spasms.,mein pehlay hi yeh karti hon aur yoga bhi. aphaara/bloating bhi horahi hai kuch madad nahi karta.,aphara/bloating mein madad ke liye ziyada pani peenay ki koshish karen. jari bootion wali chaye peenay se pathon ki khichao ko dur karne mein madad miley gi .
can you recommend some herbal teas?,Lipton and Tapal offer different flavors of herbal teas.,kya aap kuch jari bootion wali chaye tajweez kar satke hain ?,lipton aur tapal herbal chaye ke mukhtalif zaiqay paish karte hain .
,,,
could my period pain be indicative of a cyst?,"How painful is your period, are you able to do your normal day-to-day activities?",kya mera mahvari ka dard cyst ki nishandahi kar sakta hai ?,"aap ki mahvari kitni takleef da hai, kya aap apni roz marrah ki mamool ki sargarmia karne ke qabil hain ?"
on the first two days it is difficult to get out of bed even,Cysts may be a cause of Polycystic Ovary Syndrome or PCOS. Women with PCOS often experience extremely painful periods. Consult a doctor to get a diagnosis.,pehlay do din to bistar se uthna bhi mushkil hota hai .,Polycystic Ovary Syndrome ya pcos ki wajah ho satke hain. pcos wali khawateen aksar intehai takleef da haiz ka tajurbah karti hain. tashkhees ke liye doctor se rujoo karen .
are there any recommended foods to gake during pefiods?,"You can keep your normal diet during your periods. Try drinking more water, eating more fruits and vegetables, and fish because it is rich in protein to tackle period symptoms and low energy levels.",kya periods ke douran khanay ke liye koi tajweez kardah gizayein hain ?,"aap mahvari ke douran apni mamool ki khoraak barqarar rakh satke hain. ziyada pani peenay ki koshish karen, ziyada phal aur sabzian aur machhli khayen kyunkay yeh period ki alamaat aur kam tawanai ki satah se nimatnay ke liye protein se bharpoor hota hai ."
what to do if pads give rashes?,Use unscented pads and wear loose underwear. Make sure to change your pad every 4-8 hours and keep the area dry.,agar pad par danay par jayen to kya karen ?,baghair khushbu walay pad istemaal karen aur dheela underwear pehnein. har 4-8 ghantay mein apna pad tabdeel karna yakeeni banayen aur ilaqay ko khushk rakhen .
okay,Is there anything else I can help you with?,theek hai,kya koi aur cheez hai jis mein mein aap ki madad kar sakti hon ?
Yes,How can I help?,jee haan,mein kis terhan madad kar sakti hon ?
No,Alright,nahi,theek hai
Bye,"It was nice talking to you, take care!",’alvidah’,"aap se baat kar ke acha laga, khayaal rakhna !"
,,,
Salam Mai. I had a question,Wsalam. Sure. Ask away.,salam mai. mera aik sawal tha .,"wsalam, jee zarur poochain ."
is using cloth sanitary,"Cloth pads can be safe to use as long as they are used hygienically. Cloth pads must be washed properly, dried under sunlight, and stored in dry and sterile places. Remember, when menstrual and personal hygiene is not practised, it can lead to infection. So be careful about it",kapra istemaal karna sanitary hai?,"kapray ke pad is waqt tak istemaal mein mehfooz reh satke hain jab tak ke woh hifzaan sehat ke mutabiq istemaal hon. kapray ke pads ko achi terhan se dhona chahiye, Sooraj ki roshni mein khushk karna chahiye, aur khushk aur jaraseem se pak jaghon par rakhna chahiye. yaad rakhen, jab mahvari aur zaati hifzaan sehat par amal nahi kya jata hai, to yeh infection ka baais ban sakta hai. to is ke baray mein mohtaat rahen"
ok,Do you want to ask something else,theek hai,aap kuch aur poochna chahtay hain ?
Is menstruation and periods the same thing,"Yes, they are",kya haiz aur mahvari aik hi cheez hai ?,jee wo aik hi cheez hai
